"Wavelength","rsr","stdev"
564,0.986907184,0.0143458983
565,0.99114877,0.0155484192
566,0.994766235,0.0149320299
567,0.993841887,0.0126707377
568,0.991017163,0.0131616099
569,0.987221479,0.0159205887
570,0.983745098,0.0232921187
571,0.983483195,0.0286394395
572,0.986702144,0.028002318
573,0.991954029,0.0183696058
574,0.996305704,0.00402131118
575,0.999346554,0.015460589
576,1,0.02355198
577,0.999474287,0.0201139431
578,0.998127341,0.0105826892
579,0.995951235,0.00431783404
580,0.989320576,0.00786188245
581,0.974154234,0.00982175302
582,0.949241102,0.0145222591
583,0.935025513,0.0205281395
584,0.928536415,0.0260325242
585,0.931859076,0.0159295704
586,0.92724669,0.0229585972
587,0.864495873,0.0529586039
588,0.710982621,0.0324755795
589,0.516266644,0.030762529
590,0.345082521,0.0650392622
591,0.216169268,0.068422541
592,0.120756455,0.0501221716
593,0.0583439283,0.0289529264
594,0.0269462988,0.015019346
595,0.012431385,0.00753269717
596,0.00607701857,0.00394146424
630,0.00813655462,0.00138653838
631,0.0144832162,0.00258088135
632,0.0273047052,0.00488257688
633,0.061503619,0.0114440229
634,0.129604563,0.0235937685
635,0.275992155,0.0423264019
636,0.508335054,0.0559520721
637,0.778233767,0.0414271429
638,0.932296991,0.0145912841
639,0.966309488,0.00483641215
640,0.982640386,0.00868121162
641,0.98610568,0.013220489
642,0.986162722,0.0144157587
643,0.981306255,0.0117079364
644,0.973655283,0.00647220109
645,0.969172537,0.00390513754
646,0.97131443,0.00463889912
647,0.980798364,0.00361887808
648,0.992718756,0.00526335696
649,1,0.00850826688
650,0.99686712,0.00811962038
651,0.985420108,0.0050275214
652,0.97099334,0.00733963121
653,0.961064517,0.0125577683
654,0.960650921,0.0136157703
655,0.968687475,0.0108141266
656,0.980701625,0.00550136482
657,0.985512078,0.00323348376
658,0.988938868,0.00300380844
659,0.980829895,0.00767781632
660,0.967919469,0.0177791771
661,0.963080168,0.0249976888
662,0.963283896,0.0273289755
663,0.971270144,0.0241091121
664,0.981614769,0.0181948319
665,0.987565875,0.0148929609
666,0.986322582,0.0161413625
667,0.980530381,0.018166516
668,0.979855299,0.0209696498
669,0.980613828,0.0234461427
670,0.964931369,0.0351495557
671,0.859550774,0.0700895935
672,0.668073595,0.0841943249
673,0.416980416,0.0534954071
674,0.215688512,0.0268911887
675,0.105356254,0.0206576698
676,0.052083578,0.0139299743
677,0.025256481,0.00832761358
678,0.0129305059,0.00439544208
679,0.00670020236,0.0022843522
841,0.00557772024,0.000400415214
842,0.00840453431,0.000621548796
843,0.0121996952,0.0010020294
844,0.0191002283,0.00196286035
845,0.0311240833,0.00396799948
846,0.0518628024,0.00793775078
847,0.0926026627,0.0167109855
848,0.157269299,0.0301905219
849,0.271976441,0.0502794981
850,0.444600314,0.0673153549
851,0.649325252,0.0631920099
852,0.834740877,0.0334948637
853,0.940933585,0.00793793518
854,0.981522083,0.00603863364
855,0.990649819,0.0031307654
856,0.989237845,0.00492328173
857,0.988160014,0.00885303691
858,0.989430964,0.00985418353
859,0.992200613,0.00842203386
860,0.994987905,0.00597077282
861,0.996941984,0.00379839912
862,0.998008609,0.00237504812
863,0.998217225,0.00181176746
864,0.998145461,0.0017178182
865,0.99809587,0.00186433911
866,0.998182416,0.00177317078
867,0.999003947,0.00142346695
868,0.999292791,0.00137424737
869,0.999401927,0.00225448026
870,0.999733865,0.00324159022
871,0.999818504,0.00329754688
872,1,0.00155146851
873,0.999991298,0.00155474688
874,0.996436834,0.00527154049
875,0.974516988,0.00868602376
876,0.929714203,0.00968487281
877,0.834486187,0.0224444866
878,0.681167722,0.0438566394
879,0.496751666,0.052083537
880,0.319203049,0.0457962193
881,0.190730006,0.0294958837
882,0.111398987,0.0173934493
883,0.0646279678,0.00943446159
884,0.0368153863,0.00470461091
885,0.0219283756,0.00236544013
886,0.0132133635,0.00114857382
887,0.00764327822,0.00047456508
1532,0.00554793607,0.00045639748
1533,0.00627023773,0.000504566415
1534,0.00701700849,0.000553495483
1535,0.00794360228,0.00062074553
1536,0.00882081874,0.000683340069
1537,0.00961303245,0.000737389317
1538,0.0106697157,0.000821414229
1539,0.0121255787,0.000949114852
1540,0.0136883287,0.00108250463
1541,0.0157045722,0.00123391254
1542,0.0177991167,0.00140412711
1543,0.0205864869,0.0016379049
1544,0.0234405901,0.00187370786
1545,0.0271165967,0.00222245371
1546,0.0307925902,0.00257730763
1547,0.0359886959,0.00295372331
1548,0.0416314416,0.00355514977
1549,0.0488091856,0.00419124262
1550,0.0571529008,0.00480408454
