"Wavelength","rsr","stdev","band"
635,6.04372303e-08,1.35822464e-08,"Blue"
636,3.50609817e-08,2.34568809e-08,"Blue"
637,3.22915845e-08,1.93406553e-08,"Blue"
638,3.93827406e-08,1.21167227e-08,"Blue"
639,4.47280257e-08,2.06630038e-08,"Blue"
640,6.53079368e-08,3.02503445e-08,"Blue"
641,8.40615684e-08,2.15704752e-08,"Blue"
642,6.38299156e-08,1.57321587e-08,"Blue"
643,5.67312775e-08,3.60258845e-08,"Blue"
644,5.01841413e-08,1.54493662e-08,"Blue"
645,3.09075006e-08,1.98233732e-08,"Blue"
646,2.71082019e-08,3.4485538e-08,"Blue"
647,1.87148093e-08,2.49105252e-08,"Blue"
648,1.99858601e-08,2.64430327e-08,"Blue"
649,2.06428403e-08,2.58757211e-08,"Blue"
650,1.52336295e-08,1.5913205e-08,"Blue"
651,2.33564474e-08,2.70995155e-08,"Blue"
652,2.84915114e-08,2.29194814e-08,"Blue"
653,4.23457678e-08,2.48545717e-08,"Blue"
654,3.63623975e-08,1.99126298e-08,"Blue"
655,2.94117601e-08,1.50810049e-08,"Blue"
656,5.11673619e-08,4.85623666e-08,"Blue"
657,9.19498007e-08,9.62928581e-08,"Blue"
658,1.68986233e-07,1.7317754e-07,"Blue"
659,2.61806434e-07,2.85745017e-07,"Blue"
660,3.82348958e-07,4.11958467e-07,"Blue"
661,5.08991491e-07,6.03584624e-07,"Blue"
662,9.75877242e-07,1.3256788e-06,"Blue"
663,3.38083601e-06,4.97875453e-06,"Blue"
664,8.47115371e-06,1.251496e-05,"Blue"
665,7.15602755e-06,8.41846941e-06,"Blue"
666,5.95726397e-06,2.71030035e-06,"Blue"
667,6.11725636e-06,3.23151221e-06,"Blue"
668,1.05421068e-05,1.41710761e-05,"Blue"
669,1.08030554e-05,1.57518207e-05,"Blue"
670,3.31196088e-06,4.45774413e-06,"Blue"
671,2.08693496e-06,1.02795434e-06,"Blue"
672,1.09777502e-05,1.0107372e-05,"Blue"
673,2.12358264e-05,1.38530422e-05,"Blue"
674,8.41192832e-06,6.85286113e-06,"Blue"
675,1.10442238e-06,1.35221455e-06,"Blue"
676,2.89412981e-07,9.08804836e-08,"Blue"
677,2.37351557e-07,3.16151656e-08,"Blue"
678,2.13081222e-07,5.04461859e-08,"Blue"
679,2.37333282e-07,8.24641688e-08,"Blue"
680,3.26454852e-07,1.28690161e-07,"Blue"
681,4.10669088e-07,2.0590673e-07,"Blue"
682,4.99989028e-07,1.64000113e-07,"Blue"
683,5.1502991e-07,1.56443363e-07,"Blue"
684,3.78108012e-07,1.16635896e-07,"Blue"
685,2.79396062e-07,1.3010056e-07,"Blue"
686,2.75941943e-07,1.10320777e-07,"Blue"
687,2.27931508e-07,1.35280061e-07,"Blue"
688,1.79566982e-07,1.49199479e-07,"Blue"
689,2.21320519e-07,1.73752397e-07,"Blue"
690,3.41276689e-07,3.14600101e-07,"Blue"
691,4.65878969e-07,5.83572671e-07,"Blue"
692,8.97423035e-07,1.23616849e-06,"Blue"
693,2.22554286e-06,3.13771079e-06,"Blue"
694,4.97158271e-06,7.24214669e-06,"Blue"
695,3.20163563e-05,2.00918967e-05,"Blue"
696,6.35090328e-05,3.4470926e-05,"Blue"
697,0.000104342798,5.21671063e-05,"Blue"
698,0.000125105551,6.22271109e-05,"Blue"
699,9.68503082e-05,4.05906212e-05,"Blue"
700,7.03673431e-05,3.59243531e-05,"Blue"
701,7.50600084e-05,3.46237066e-05,"Blue"
702,8.87108399e-05,4.62850185e-05,"Blue"
703,8.09568737e-05,3.50566079e-05,"Blue"
704,7.34371206e-05,3.5643403e-05,"Blue"
705,6.86601779e-05,3.15827128e-05,"Blue"
706,6.38832498e-05,2.81324956e-05,"Blue"
707,5.91063035e-05,2.55412942e-05,"Blue"
708,5.432939e-05,2.40879217e-05,"Blue"
709,4.95524509e-05,2.39801848e-05,"Blue"
710,4.47755192e-05,2.5235282e-05,"Blue"
711,4.13641828e-05,2.61067271e-05,"Blue"
712,4.07368061e-05,2.44171715e-05,"Blue"
713,4.01093967e-05,2.32322182e-05,"Blue"
714,3.94820054e-05,2.26312295e-05,"Blue"
715,3.88546141e-05,2.26606935e-05,"Blue"
716,3.82272265e-05,2.33182836e-05,"Blue"
717,3.75998279e-05,2.45535284e-05,"Blue"
718,3.6972433e-05,2.62851063e-05,"Blue"
719,3.64004409e-05,2.82318233e-05,"Blue"
720,3.75562595e-05,2.84708076e-05,"Blue"
721,4.53823995e-05,2.85540973e-05,"Blue"
722,5.40452675e-05,2.99824478e-05,"Blue"
