"grain_size","Blue_2","Green_3","Red_4","NIR_5","SWIR1_6","SWIR2_7"
1179,0.961728749427111,0.949982043916715,0.903902975668229,0.705241904892465,0.00833572593950732,0.00976747815027925
1180,0.961701489030096,0.949962192569942,0.903863591417865,0.705137391109581,0.00833318665892075,0.00976102834408717
1181,0.961670735278733,0.949938747599382,0.9038180638537,0.705035317369267,0.00833065001145641,0.00975457897719272
1182,0.961691748384175,0.949925512148777,0.903787550574785,0.704931903062085,0.00832812869767019,0.00974815589236053
1183,0.961664180824624,0.949913244433379,0.903743575526032,0.704828529038645,0.00832561116694339,0.00974174834608657
1184,0.961644950459965,0.949877581574487,0.90370535238275,0.704726304596788,0.00832310576838416,0.00973534176292235
1185,0.961628812180323,0.949858654196648,0.903665134362297,0.704623917705365,0.00832061950668436,0.00972896306276929
1186,0.961622027568305,0.949848131968715,0.903628615791124,0.704520087312775,0.00831812701800956,0.00972258494640403
1187,0.961611469554241,0.949830642339767,0.90358859357956,0.704416464389842,0.00831564198349256,0.00971623621338272
1188,0.961571323685164,0.949803204333505,0.903548915100685,0.704315426999833,0.00831315953812207,0.00970991139325046
1189,0.961566993951066,0.949784304310883,0.903511334777032,0.704212017523162,0.00831067982099097,0.009703585437882
1190,0.961551601057132,0.949745286060012,0.903484118843988,0.704108917861652,0.00830823799428964,0.00969725721887993
1191,0.961534493811381,0.949733732785684,0.903432264096207,0.704007537159142,0.00830579589340581,0.00969098688665152
1192,0.961513289554265,0.949729237010091,0.90340373940045,0.703904602845081,0.00830334170066793,0.00968470281350249
1193,0.961507200699501,0.949708376911201,0.903359546575843,0.703801424423624,0.00830089683797241,0.00967843620227237
1194,0.961492556272243,0.949674678326356,0.903317023211214,0.703699304708901,0.00829848134263366,0.0096721978738698
1195,0.961477875590853,0.949653989077914,0.903286482009157,0.70359639591326,0.00829604954921854,0.00966594429198797
1196,0.961469155730465,0.949639098657081,0.903244734121574,0.703494362937848,0.00829363284309962,0.00965973335477672
1197,0.961448219342896,0.949619619888259,0.903205187621014,0.703393822007569,0.00829119009303541,0.0096535336114756
1198,0.961420268885596,0.94959807989017,0.903167218548574,0.703293216759313,0.00828881799265676,0.00964733671597657
1199,0.961414195515885,0.949576685329973,0.903132418747794,0.703189709035961,0.0082864172690069,0.00964117254321901
1200,0.961393857228276,0.949569264275683,0.903090952420657,0.703086925293572,0.0082840380072877,0.00963501031409784
1201,0.961369467350629,0.949532294546064,0.903039195197176,0.702987476464245,0.00828163996158813,0.00962885730585752
1202,0.961362950943426,0.949517866697037,0.903010007068107,0.702884670190888,0.0082792872353033,0.00962271838144943
1203,0.961348788112484,0.949495097021911,0.902967362893998,0.702781458260727,0.00827691591179434,0.0096166067895519
1204,0.961300529153326,0.949474543740074,0.902930699719632,0.702681492833087,0.00827456181860576,0.00961048064751971
1205,0.961317022837294,0.949455068322232,0.902897294255961,0.702578109380802,0.00827221381539796,0.00960439575227095
1206,0.961290204405651,0.949431044914822,0.902864683115734,0.702475864671522,0.008269858794091,0.00959833275416236
1207,0.961279981113495,0.94942028872525,0.90283149553109,0.702374016364974,0.00826754325571373,0.00959227360629366
1208,0.961257868059866,0.949396739738237,0.90278886554855,0.702274941461415,0.00826519786612108,0.00958622341353042
1209,0.961246858345517,0.949362672699172,0.902742872226926,0.702171385540722,0.00826286682146253,0.00958017748553098
1210,0.961240211633427,0.949338197171344,0.902698050510408,0.70207006605476,0.00826056983215106,0.0095741630814785
1211,0.961210258378837,0.949329198699829,0.902666150358283,0.701971355780704,0.00825824836075218,0.00956816284065241
1212,0.961205267740197,0.949312145698672,0.902627785136027,0.701869535693244,0.00825595024282675,0.0095621740369631
1213,0.961189275237668,0.949300172596197,0.902593232553468,0.701769589079673,0.00825363328452583,0.00955619695404488
1214,0.961163099336464,0.949286242533027,0.90254725569341,0.701665409901539,0.00825136121538058,0.00955023479607015
1215,0.961141937128675,0.949248809003166,0.902516980205513,0.701565159046108,0.00824907669805241,0.00954427167609009
1216,0.961146728996967,0.94923709257666,0.902482140326805,0.701463210218066,0.00824679354854385,0.00953835021036068
1217,0.961132079518535,0.949210564672238,0.902431574777544,0.701363015999851,0.00824455267216648,0.00953242220806349
1218,0.961097511559754,0.949192505329865,0.902402823511371,0.701263250190244,0.00824227269591063,0.00952650694146077
1219,0.961097460386803,0.949171986802718,0.902360686610231,0.701160905218487,0.00824003158212104,0.00952061569751074
1220,0.961083534886724,0.949151834280216,0.902324261049293,0.701058421323983,0.00823776729171593,0.00951474748006918
1221,0.961050826944185,0.949129112362375,0.902288720319048,0.700961350457347,0.00823553226431574,0.00950887159711738
1222,0.961033572712541,0.949103093954688,0.902251854615359,0.700859081758589,0.00823330033335071,0.00950304015064744
1223,0.96102972619372,0.949086574988118,0.902207163622601,0.700758918219523,0.00823106279092178,0.00949718816180045
1224,0.961014960249143,0.949061906833717,0.902169745570882,0.700657543579548,0.00822883494131757,0.00949135052885409
1225,0.960985690036346,0.949051081360781,0.90213818832105,0.70055634312841,0.00822664132999597,0.0094855473605273
1226,0.960981160736245,0.949031109052945,0.902103851513781,0.700455862952816,0.00822442088804377,0.00947974051466099
1227,0.960965471109845,0.949020025745051,0.902059620344852,0.700354866366172,0.00822221769250197,0.00947396536568569
1228,0.960957569564591,0.948980510076286,0.902021590506377,0.700254717863135,0.00822003521998111,0.00946818489885862
1229,0.960932001913104,0.948958835214977,0.9019782491536,0.700157083523606,0.0082178414278687,0.00946242151008307
1230,0.960925760668911,0.94894514519782,0.901939925265975,0.700055890906344,0.00821567013477602,0.00945666091346725
1231,0.960920471458048,0.948924756823726,0.90190669132422,0.699955618048812,0.00821348713558816,0.00945094351681015
1232,0.960900962202144,0.948915858022896,0.901867853810851,0.699855113176213,0.00821133648517797,0.00944522753620906
1233,0.960859831474354,0.948877993630725,0.901838019483819,0.699755514598332,0.00820917405248561,0.00943951254286922
1234,0.960865640846864,0.948853352055065,0.901795367104485,0.699654718302057,0.00820700695172335,0.00943382338256049
